address,underlyingValue,debt
0x0ae83a9554c0137b06082b166871947ccc4e9674,19361392604568228,4428394721652846
0x0bc24444fe0c7ed98c0d570a9f159ddd42217c2a,4001544329504439000,1645183334272124507
0x0c6ac3fcea667fd6c62483ce1dbbce6f6ce0fb1f,2726937809447320600,1350071753276671753
0x0d2eff31cf0c5700133cfa2eeba980f2897eb173,614000000000000000,252190810505635063
0x0d58fe3210646b36410f7aa8bcce96c29ee63605,145527614541747000,64747197658955445
0x0de288743f9759148a3e18220ef49815e889aad0,1000000000000000000,-87977862291033585
0x0e290e66b061435c9dc7f7503f7979537fd5cb7a,500000000000000000,98546255516387437
0x0e6670aab873c7ae3e8de7e2c1c24ad5a41f90ef,2097074950695102500,932475786647305916
0x0e6e6a776009248993a58fd2e529d69e34a85473,30000000000000000,-537679568861288
0x0e78588283aa9ccbec277b40fb8edfa8cc2155a7,75002000000000000,-1344234767457812
0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,4000000000000000000,1901063666252793438
0x0e9476c0d57f6927b01a523caf250111964aa079,5376295929489066,2529464232974175
0x0eec70678a2e67a0aecacbea56d2426713c78562,26000000000000000,-146250403623398
0x0f18326c5a1a1acb9bc54b4b55479d19997007e9,9999961153767522,-49131081157537
0x0f2082e4a149c1839cb99972dd240842c2a8d33d,111949977562278160,-3293605168896468
0x0f51bdf7af73eba84ba964299df4c16043224f3e,6600000000000000000,992886691587698527
0x0f7981ae60708d4d64040999e463f106b13f07c5,174275886370620,79026603175974
0x0f7d35a1b8127dc0750322f7e26e2230df0c9169,299546592341136050000,147915757096547725906
0x105e396c4a4681d2a711a1e4472ac97549f58af3,13612603079383850000,444386971117148080
0x10bf7045e9fa3f12a48987b3a7497f8bceb3dccc,7799484137351110,3698294778822596
0x125e419842966672dc4b28272d99cec4665642a8,4099167059464873000,1753977170781205992
0x12aa329e8c6df902c0087907fb4959194010a59b,519999999999989,-32952230262869
0x13604448b8546316c1921e5aab9e6c36e4953fac,6848473019947495,3366180141380377
0x13ddb51da11c3e540dd96308e4515380c85bd5d3,237095612270263100,91509886699830387
0x145c584f2f022997a9d0e5fcb4346042229525e1,4170835848657220000,2044373873037561536
0x146cfed833cc926b16b0da9257e8a281c2add9f3,1890388028631057700,860601804303789418
0x1554b0569406f38626828e4ede720a180213425a,2760392898024886000,1243729145989901054
0x156ba7caeaede7cd4d89f1eaa53361b1f60f151b,1150000000000000000,372314096476214931
0x15962221e0e7a41de9da1615f9cb64cbfff83408,12406293882698480000,2961546584698171962
0x159eed89294e8d11172128997f4aad074566a596,1144159916828190,527154713042109
0x1674aca0220c10afc4b70cbb2721b3613974bd9f,225174472059204080000,101683375040292787687
0x167c5177a10eb55c6adc245c17ec8fc9b54ef57a,560583412393002,-15038452764835
0x16bc42a8d77ab79e8ec3bd9c1d8bca47626cc6f5,199999999999999,9493619817659
0x1744d374bf556e7fa4c02ef6ecf678f3950cf847,178636557939880930,27813640766283793
0x17816e9a858b161c3e37016d139cf618056cacd4,100000000000000000,-1792265229537629
0x180064a1cb33d62510964ea23be9fb2a136142be,4081410286109577000,1845544343926381443
0x19bafa77aab2e1fe6cbe4b2c60597b9060b105ee,115194155089758720000,57597077544879372284
0x1a1ea5ef21dc8ac849c277a8c687065b4cf0b804,4200000000000000000,592326834855253106
0x1a59b2cbec7613ffc6373de6861aab53f0f9b64a,8250000000000000000,3460100348471090679
0x1a6db538813dbfa63e1f19f8804447187b7d401d,1000000000000000000,450562362654900764
0x1a76a8779b441819c930570a4962e51740c556c0,4650001128935528000,2066328383365402912
0x1a9aa0b3fee0462dd0372d0605393dc203596f33,9999999999999998,-891200894619437
0x1ac62e0177d30b9f7cfcdab73004b308f06770f0,101532211196085,50394445957510
0x1afe17ce4fc3b3273a50ff2a55f7933a3efc85e2,14000000000000000000,1153598824036036257
0x1b51cce51e2531c478daa9b68eb80d47247dcbec,174857515945953900000,76961371790352093704
0x1b793b70834a80b1cf1b9c279084409de419c956,1000000000000000000,410647501997359769
